Serial number:	"0096K23R"
Sensor Model:	"EM-USB J-50MB-YAG-1528"
Mode:	Energy
Wavelength:	 1064 nm
Attenuation Factor:	Off
Collection Mode:	Streaming every pulse
Date/Time:	09-02-2024	14:06:20
Sample #	Measurement
1 	 3.32600e-01
2 	 3.32600e-01
3 	 3.32400e-01
4 	 3.31700e-01
5 	 3.33200e-01
6 	 3.32400e-01
7 	 3.33000e-01
8 	 3.33400e-01
9 	 3.33800e-01
10 	 3.33400e-01
11 	 3.34000e-01
12 	 3.35500e-01
13 	 3.36400e-01
14 	 3.36200e-01
15 	 3.38300e-01
16 	 3.37000e-01
17 	 3.37000e-01
18 	 3.37600e-01
19 	 3.38100e-01
20 	 3.38500e-01
21 	 3.37400e-01
22 	 3.38900e-01
23 	 3.40400e-01
24 	 3.41700e-01
25 	 3.42100e-01
26 	 3.40400e-01
27 	 3.41500e-01
28 	 3.41000e-01
29 	 3.42100e-01
30 	 3.41700e-01
31 	 3.41500e-01
32 	 3.43400e-01
33 	 3.43600e-01
34 	 3.44800e-01
35 	 3.45700e-01
36 	 3.44600e-01
37 	 3.45000e-01
38 	 3.45300e-01
39 	 3.45700e-01
40 	 3.46100e-01
41 	 3.45300e-01
42 	 3.47000e-01
43 	 3.48000e-01
44 	 3.49300e-01
45 	 3.49900e-01
46 	 3.48600e-01
47 	 3.48900e-01
48 	 3.48400e-01
49 	 3.49300e-01
50 	 3.49700e-01
51 	 3.49100e-01
52 	 3.56900e-01
53 	 3.57900e-01
54 	 3.58600e-01
55 	 3.59400e-01
56 	 3.57700e-01
57 	 3.58600e-01
58 	 3.58200e-01
59 	 3.58800e-01
60 	 3.59200e-01
61 	 3.58200e-01
62 	 3.71300e-01
63 	 3.72300e-01
64 	 3.73800e-01
65 	 3.74400e-01
66 	 3.74200e-01
67 	 3.73800e-01
68 	 3.74000e-01
69 	 3.74400e-01
70 	 3.74700e-01
71 	 3.73800e-01
72 	 3.93900e-01
73 	 3.95000e-01
74 	 3.96200e-01
75 	 3.97700e-01
76 	 3.95800e-01
77 	 3.95600e-01
78 	 3.95600e-01
